"","caseid","CA","WA","OR","ResponseId","zipcode","Durationinseconds","intersection2","zip","state","geometry"
"1",1213,0,1,0,"R_3ND8vaIE0fhtYLh",98260,1316,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"2",1238,1,0,0,"R_3e7YlhLfD5t0ZDU",90001,585,30,60645,"Illinois",c(-87.6928024291992, 42.0096015930176)
"3",1239,1,0,0,"R_OiNLF4i5ikosxQR",92071,1958,26,11385,"New York",c(-73.888298034668, 40.6994018554688)
"4",1240,0,1,0,"R_32V18MH0blTjaAl",98052,2036,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"5",1284,1,0,0,"R_2QR6jkJeY85HmDT",90017,806,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"6",1285,1,0,0,"R_1cXGsReCOJYg19a",90007,334,41,21218,"Maryland",c(-76.606201171875, 39.3247985839844)
"7",1305,1,0,0,"R_1g57jQgigJmVdXR",94115,3260,43,96765,"Hawaii",c(-159.474899291992, 21.9082908630371)
"8",1327,1,0,0,"R_1BQ3fMCSDwDk3Gx",93065,450,49,44305,"Ohio",c(-81.4663009643555, 41.0751991271973)
"9",1354,0,1,0,"R_2ZNPyLTkF9Qwpg7",98030,562,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"10",1402,0,0,1,"R_3L6kPQN8F3nHLom",97526,757,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"11",1436,1,0,0,"R_puTM1nWHJeASyCB",90001,1276,NA,NA,"",c(7.02250719070435, 4.77650499343872)
"12",1445,1,0,0,"R_1dsFkHFxnRFgbJq",91607,1397,26,11427,"New York",c(-73.7514038085938, 40.7291984558105)
"13",1458,0,0,1,"R_10GVcnx24qI22jB",97367,2672,36,86404,"Arizona",c(-114.330703735352, 34.5574989318848)
"14",1462,0,1,0,"R_3oNOsv9kmsjnW9t",95758,2003,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"15",1474,0,1,0,"R_1PXxxJfgTuH1Vuc",98290,846,NA,NA,"",c(-122.377998352051, 48.201099395752)
"16",1476,1,0,0,"R_XtBwai7A4uRZ82J",95076,2239,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"17",1502,0,1,0,"R_2qdy9z9RgHWzYJR",98003,815,4,23235,"Virginia",c(-77.5662002563477, 37.5115089416504)
"18",1531,0,0,1,"R_24MZYA8jNmP17Ld",97424,3698,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"19",1537,0,0,1,"R_2zImIwTH1NuBVOx",97123,2901,56,6611,"Connecticut",c(-73.2111968994141, 41.2572898864746)
"20",1538,1,0,0,"R_42uAeQ3uIlI3hO9",94534,560,40,7701,"New Jersey",c(-74.0680999755859, 40.3583984375)
"21",1552,1,0,0,"R_1Ej3LBArJtpwzbv",92605,466,36,85033,"Arizona",c(-112.217300415039, 33.4889106750488)
"22",1597,0,1,0,"R_1FcBbUVU38U7HA5",98101,807,NA,NA,"",c(88.3698120117188, 22.5601997375488)
"23",1605,1,0,0,"R_z8vfudIq3uC70pX",94119,675,NA,NA,"",c(107.60710144043, -6.92170715332031)
"24",1686,1,0,0,"R_u4TqaSPL6okWvap",92704,1516,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"25",1688,1,0,0,"R_8ob6zZRvzozXYNb",92154,1736,40,8757,"New Jersey",c(-74.2473983764648, 39.9726982116699)
"26",1695,1,0,0,"R_3lzYzehUlRoSoQG",95954,1074,16,78628,"Texas",c(-97.7510986328125, 30.6410999298096)
"27",1706,0,1,0,"R_2E5CVR4BEL4wUwX",98118,626,19,30315,"Georgia",c(-84.3741989135742, 33.7042999267578)
"28",1708,1,0,0,"R_2fB3KYelnCHQUno",90032,462,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"29",1722,0,1,0,"R_1ilHwohOT8Dsk0Q",98201,1831,NA,NA,"",c(-122.377998352051, 48.201099395752)
"30",1759,1,0,0,"R_pzpJ8qYPJtX9DlT",90239,760,4,20147,"Virginia",c(-77.4728012084961, 39.0480995178223)
"31",1764,1,0,0,"R_2t6bsEMEpfVxt3W",92092,1107,NA,NA,"",c(-117.279800415039, 32.8515014648438)
"32",1769,1,0,0,"R_3HYom5Uug8eTqB4",90068,1756,40,7450,"New Jersey",c(-74.111198425293, 40.986400604248)
"33",1802,1,0,0,"R_2tJUY0vec2WpVkS",90007,1333,4,22407,"Virginia",c(-77.5494995117188, 38.2709999084473)
"34",1810,0,0,1,"R_7PT3YmW3SnJ4GZP",97477,543,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"35",1817,1,0,0,"R_2EnnDuaRf2W67iC",90239,957,4,20147,"Virginia",c(-77.4728012084961, 39.0480995178223)
"36",1844,0,1,0,"R_3htHYS62l7NLjEy",98003,572,26,13053,"New York",c(-76.2872009277344, 42.4860992431641)
"37",1858,1,0,0,"R_W6iZR5YoxDJher7",91206,769,26,11216,"New York",c(-73.9492034912109, 40.6763000488281)
"38",1876,1,0,0,"R_vlde3QOs6nCCtSp",95982,451,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"39",1892,1,0,0,"R_6JtNXvIJVylb3c5",95020,1430,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"40",1901,1,0,0,"R_3OkLMQGd5b9jPLw",91710,663,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"41",1931,0,1,0,"R_3IQcMD6YED6oqFx",98001,3252,7,48906,"Michigan",c(-84.5562973022461, 42.7606010437012)
"42",1937,1,0,0,"R_3qgvaOzyC2rzETa",90745,6365,10,33131,"Florida",c(-80.1885986328125, 25.7633991241455)
"43",1942,0,0,1,"R_3kBeb6gCFJiJG45",97355,443,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"44",1947,1,0,0,"R_afVooZSQleXWBqN",90005,2476,19,31210,"Georgia",c(-83.7429962158203, 32.8936004638672)
"45",1955,1,0,0,"R_231jStKhf1LKKWd",92120,1470,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"46",1958,1,0,0,"R_2QoHz1qYwIxlREC",94102,1299,2,28202,"North Carolina",c(-80.8427963256836, 35.2316017150879)
"47",1997,1,0,0,"R_Xj1GmdQJZG98LwB",90802,5306,NA,NA,"",c(-118.177398681641, 33.7630004882812)
"48",2014,0,1,0,"R_R9oAI77Vp0TiRwZ",98001,688,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"49",2027,1,0,0,"R_1rNaIQdOwp92cDA",95014,2337,40,7112,"New Jersey",c(-74.2026977539062, 40.706600189209)
"50",2105,0,1,0,"R_2ROkXnxgSs8s1oO",98101,1765,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"51",2132,0,1,0,"R_3NvLE8zNYYiBuTy",98003,892,26,12037,"New York",c(-73.5873031616211, 42.3495903015137)
"52",2155,0,1,0,"R_3qeyXD6cwgA5fRd",98057,1035,41,20772,"Maryland",c(-76.7974014282227, 38.8341102600098)
"53",2156,1,0,0,"R_sAaZc4DUH5BXSFj",90026,1204,18,35405,"Alabama",c(-87.5064010620117, 33.1669006347656)
"54",2162,1,0,0,"R_xlxE8fw3BTJAEGl",92692,690,19,30008,"Georgia",c(-84.5893020629883, 33.8983001708984)
"55",2173,1,0,0,"R_3h4vQueKt7DpSE2",92124,1317,36,85031,"Arizona",c(-112.169898986816, 33.4910011291504)
"56",2180,0,0,1,"R_2zIvqbKfpwpw2HX",97217,658,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"57",2181,0,0,1,"R_27p7OyVVLv3nJxV",97035,1126,4,20169,"Virginia",c(-77.6202011108398, 38.8184089660645)
"58",2182,0,1,0,"R_31T0XNEr5ZeaXbz",98105,681,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"59",2247,0,1,0,"R_1JLwHfPl0bQfL5z",90019,647,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"60",2256,1,0,0,"R_2y1PFCE0WZh1rOO",94533,951,40,8003,"New Jersey",c(-74.9720993041992, 39.8839988708496)
"61",2271,0,0,1,"R_3kmGBtRTfbspiwt",97013,3765,2,28601,"North Carolina",c(-81.3264007568359, 35.7532005310059)
"62",2284,0,1,0,"R_307ap0B9E3jvqYV",98003,6479,41,21044,"Maryland",c(-76.8776016235352, 39.2123985290527)
"63",2293,0,1,0,"R_1KuTYDB8DrR2LBn",99141,612,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"64",2295,1,0,0,"R_3JfTuLG6ea8WhSV",90001,714,26,14613,"New York",c(-77.6392974853516, 43.1831092834473)
"65",2297,1,0,0,"R_6tW6ctw6UuEwAh3",93720,458,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"66",2302,0,0,1,"R_TdWspAGUCfsESqJ",97103,877,43,96815,"Hawaii",c(-157.824996948242, 21.2816905975342)
"67",2319,0,0,1,"R_1MMnnOkvXiWvCfQ",97123,1817,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"68",2324,0,1,0,"R_30izku4g8W22ctV",98368,2121,41,20785,"Maryland",c(-76.8787002563477, 38.9205894470215)
"69",2394,1,0,0,"R_DjGVuHVh13qJLxv",90005,1494,49,43506,"Ohio",c(-84.5594024658203, 41.4732093811035)
"70",2397,0,0,1,"R_26f45n75AdKrW4s",97138,2054,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"71",2420,1,0,0,"R_vDNxigePND77oFb",91607,2018,40,8816,"New Jersey",c(-74.4020004272461, 40.4305992126465)
"72",2423,0,0,1,"R_d1dNUtrIq0L0bV7",97062,1259,41,21146,"Maryland",c(-76.5589981079102, 39.0808982849121)
"73",2435,1,0,0,"R_2rwsrdEnrhvnrdA",90009,3340,NA,NA,"",c(7.17930603027344, 9.18049621582031)
"74",2441,1,0,0,"R_10IU4kQo5Ny8sdc",90035,1420,34,29909,"South Carolina",c(-80.8438034057617, 32.3297004699707)
"75",2475,0,1,0,"R_3JlVqGHoPfVoWW7",99163,1995,9,83201,"Idaho",c(-112.44409942627, 42.8851013183594)
"76",2497,1,0,0,"R_1rOZqE3yeYL2L8D",94121,1220,26,12306,"New York",c(-73.9758987426758, 42.7890014648438)
"77",2507,1,0,0,"R_2dQo0cD2K2qtXKD",95131,688,25,82001,"Wyoming",c(-104.905899047852, 41.1033897399902)
"78",2531,1,0,0,"R_ZgvzqJN0nR7p5Yd",95437,507,41,21502,"Maryland",c(-78.8460998535156, 39.5994987487793)
"79",2553,0,0,1,"R_3mePGzcSLLduyCm",98222,753,7,48221,"Michigan",c(-83.1521987915039, 42.4257011413574)
"80",2576,1,0,0,"R_338cYDT7OZyu3MN",90025,826,54,46032,"Indiana",c(-86.1295013427734, 39.9714088439941)
"81",2588,1,0,0,"R_2AYEImwchq2ee7F",90210,879,50,53225,"Wisconsin",c(-88.0345993041992, 43.1153984069824)
"82",2596,0,1,0,"R_3D541eDDcBRE72z",98055,580,26,10956,"New York",c(-73.9965972900391, 41.1461906433105)
"83",2619,1,0,0,"R_3kwaQ7J480L9N5G",90017,755,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"84",2669,1,0,0,"R_1K6ySH248BAxVp0",90002,1000,36,85033,"Arizona",c(-112.217300415039, 33.4889106750488)
"85",2707,1,0,0,"R_UAeXyasjbJVHgOZ",90402,477,16,76209,"Texas",c(-97.1134033203125, 33.2380104064941)
"86",2715,1,0,0,"R_32MgZLO4OqXw3ht",90245,10374,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"87",2763,1,0,0,"R_2wM54wCG6cOgjHz",90620,7119,7,48382,"Michigan",c(-83.4989013671875, 42.5835990905762)
"88",2765,1,0,0,"R_z8xAGMpDMYnPVQt",90301,5920,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"89",2772,1,0,0,"R_1f46gI3Efk47lWI",90231,1305,29,89135,"Nevada",c(-115.321296691895, 36.1378898620605)
"90",2777,1,0,0,"R_wYPaunb2mG6wm1X",90003,1417,37,20002,"District of Columbia",c(-76.9881973266602, 38.9034004211426)
"91",2780,1,0,0,"R_3hG53JqOC7Zj8qJ",90706,1179,7,48204,"Michigan",c(-83.1328964233398, 42.3672904968262)
"92",2786,1,0,0,"R_VJvg9PF6q7aHmtH",91762,1138,16,75647,"Texas",c(-94.931999206543, 32.5558891296387)
"93",2792,1,0,0,"R_3NBYr1z4Rn5V5d4",90036,3325,55,55330,"Minnesota",c(-93.5809020996094, 45.3134002685547)
"94",2809,0,1,0,"R_12tAjAMmXWLH86n",98052,1250,32,59102,"Montana",c(-108.570602416992, 45.7814903259277)
"95",2818,0,1,0,"R_2EsjzDnf9gC6kbU",98001,657,7,48382,"Michigan",c(-83.4989013671875, 42.5835990905762)
"96",2851,1,0,0,"R_2V4tplRChpl9Xth",95111,918,2,28645,"North Carolina",c(-81.5402984619141, 35.9187889099121)
"97",2866,0,1,0,"R_x9MwL1RbUF1WTcd",98119,1506,8,1867,"Massachusetts",c(-71.1039962768555, 42.5278015136719)
"98",2869,1,0,0,"R_2AKLWQxWLO4FiWc",90631,465,26,13219,"New York",c(-76.2238006591797, 43.0417900085449)
"99",2871,0,1,0,"R_ROADAgzLQGt65TH",99208,1466,30,60641,"Illinois",c(-87.7393035888672, 41.9456901550293)
"100",2887,0,0,1,"R_1jqVRwoNDiQ5NwD",97402,697,26,11205,"New York",c(-73.9666976928711, 40.695499420166)
"101",2920,0,1,0,"R_3Gy2v6MpABLgHnt",98908,2229,41,21218,"Maryland",c(-76.606201171875, 39.3247985839844)
"102",2930,1,0,0,"R_3j9eenxBpIRoDW1",93638,321,36,85033,"Arizona",c(-112.217300415039, 33.4889106750488)
"103",2939,1,0,0,"R_2ru7yar0Us7wC7e",92108,6469,16,77619,"Texas",c(-93.9151992797852, 29.9405994415283)
"104",2948,1,0,0,"R_2Cd0g4MqLOlrwGv",94102,684,NA,NA,"",c(37.6068000793457, 55.7386016845703)
"105",2967,1,0,0,"R_2uD7sahEKbYDpPb",92126,1120,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"106",2986,0,1,0,"R_1FyaibiUnDZucxw",98012,595,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"107",2988,1,0,0,"R_2CVsvIVfQsZABiI",90010,1823,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"108",3022,1,0,0,"R_xG8iT35dDxcct69",95829,575,41,21218,"Maryland",c(-76.606201171875, 39.3247985839844)
"109",3090,0,1,0,"R_DiQKL1alDisE4EN",98258,1525,50,53511,"Wisconsin",c(-89.0859985351562, 42.5620002746582)
"110",3102,0,1,0,"R_UYiCku4mAqabuAV",98001,919,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"111",3117,0,1,0,"R_sS8ZkiQwfrWplER",98001,342,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"112",3128,0,1,0,"R_2y15ZijvBFgd44w",98032,934,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"113",3130,0,1,0,"R_3J3IzOTYVx563Du",98368,798,26,11552,"New York",c(-73.6595993041992, 40.6952095031738)
"114",3136,1,0,0,"R_1jsauPkKt0VqlI9",93308,1762,8,1757,"Massachusetts",c(-71.5318984985352, 42.1475982666016)
"115",3171,0,1,0,"R_3L1tcb5wqmDZjO7",98936,767,50,53566,"Wisconsin",c(-89.6322021484375, 42.5950889587402)
"116",3179,1,0,0,"R_3Ph3v3gYw8Vwi28",92114,876,16,75409,"Texas",c(-96.5634994506836, 33.3437995910645)
"117",3186,1,0,0,"R_3fJBvGfFZXQsIlc",93657,1104,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"118",3195,1,0,0,"R_1n6B0BJdaBGFy87",95020,796,27,66044,"Kansas",c(-95.2086029052734, 39.0289001464844)
"119",3212,0,0,1,"R_1LoiytgONBZu68z",97206,952,50,54115,"Wisconsin",c(-88.0794982910156, 44.4370994567871)
"120",3221,1,0,0,"R_3Rl2oATbHRzJccy",91768,7748,22,80203,"Colorado",c(-104.986801147461, 39.7388000488281)
"121",3227,1,0,0,"R_2YonOSz68O6cyT0",90210,1453,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"122",3231,1,0,0,"R_3Nzl42DaZ9Sz0gg",92374,486,4,22747,"Virginia",c(-78.1539001464844, 38.7094993591309)
"123",3263,0,1,0,"R_1Ce8DxGtFmuHKqe",98122,526,26,10583,"New York",c(-73.7974014282227, 40.9942893981934)
"124",3278,1,0,0,"R_24zSaaDA06V0XzX",90017,3407,36,85023,"Arizona",c(-112.090797424316, 33.6361999511719)
"125",3344,0,1,0,"R_1FfadSR1eTo4xPQ",98052,591,16,75028,"Texas",c(-97.0764007568359, 33.0390892028809)
"126",3348,0,0,1,"R_25z92GHvYaamW9q",97211,1999,26,10312,"New York",c(-74.1803970336914, 40.5467987060547)
"127",3355,1,0,0,"R_1Ld4ZJTZ6dz0qKj",90001,632,4,20171,"Virginia",c(-77.3938980102539, 38.9258003234863)
"128",3383,0,1,0,"R_10pBBdYYDTTjYVf",98503,1061,26,10001,"New York",c(-74.0014038085938, 40.7503089904785)
"129",3385,0,0,1,"R_3GfUGppjNXBGGQ2",97526,1979,22,80203,"Colorado",c(-104.986801147461, 39.7388000488281)
"130",3386,0,1,0,"R_qJlaiP7Muw00jnj",98155,1640,7,49255,"Michigan",c(-84.8496017456055, 41.7928009033203)
"131",3406,1,0,0,"R_1hN2tSnGBfTHxlS",95350,3079,20,19008,"Pennsylvania",c(-75.3533020019531, 39.9747009277344)
"132",3411,1,0,0,"R_1M65FSa9zcm6WeR",94103,12032,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"133",3418,1,0,0,"R_25KgmjOetMfGeJE",90003,1059,26,11362,"New York",c(-73.7510986328125, 40.7415008544922)
"134",3419,0,1,0,"R_24OQavek6qslrfA",98052,1923,19,30334,"Georgia",c(-84.3871002197266, 33.7485008239746)
"135",3449,0,0,1,"R_urjLbfr2tMmJYGt",97103,3133,24,37772,"Tennessee",c(-84.2181015014648, 35.7866096496582)
"136",3465,0,1,0,"R_3Q0rU8OjnjsbZ2s",98368,1461,54,46113,"Indiana",c(-86.3117980957031, 39.6404991149902)
"137",3474,0,0,1,"R_PTVKBxe0VV0nF1D",97223,537,40,7065,"New Jersey",c(-74.2813034057617, 40.6105003356934)
"138",3481,0,1,0,"R_veJ8k41MrlFuU3n",98001,557,7,48382,"Michigan",c(-83.4989013671875, 42.5835990905762)
"139",3537,1,0,0,"R_1eV8gtrfKVhMdOA",90001,1587,36,85635,"Arizona",c(-110.266998291016, 31.540210723877)
"140",3558,0,1,0,"R_3lE9n3Rq1gls0JB",99206,1979,9,83854,"Idaho",c(-116.938903808594, 47.728199005127)
"141",3564,0,1,0,"R_2TN0ixZ0yQh0PBP",98003,1848,30,60608,"Illinois",c(-87.6517028808594, 41.8483009338379)
"142",3568,1,0,0,"R_2aUHHQgrsb5VPa9",90810,758,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"143",3570,0,1,0,"R_2S7wfcwUrP6yOah",98006,2484,4,20147,"Virginia",c(-77.4728012084961, 39.0480995178223)
"144",3579,1,0,0,"R_3MgRnpD2lt2F5jO",93720,2510,18,36207,"Alabama",c(-85.7136993408203, 33.6803016662598)
"145",3580,0,1,0,"R_PMX9jY4JDDjwu9X",98188,2689,41,20910,"Maryland",c(-77.0335998535156, 38.9994010925293)
"146",3585,1,0,0,"R_ueNBOb9ABFhA9dn",94578,459,3,73401,"Oklahoma",c(-97.181396484375, 34.1601982116699)
"147",3598,1,0,0,"R_1FxDG8xCZyVShr5",90009,454,37,20009,"District of Columbia",c(-77.036003112793, 38.9208106994629)
"148",3603,0,1,0,"R_Ui5UvUTBDpZtzR7",98103,419,30,60608,"Illinois",c(-87.6517028808594, 41.8483009338379)
"149",3623,1,0,0,"R_1mng0OyCKgKKgD4",90001,322,23,84107,"Utah",c(-111.890701293945, 40.6566009521484)
"150",3638,0,0,1,"R_12zJQavE1obeT8B",97801,1801,3,74110,"Oklahoma",c(-95.9608001708984, 36.1779899597168)
"151",3642,1,0,0,"R_2EvhtACEpUzFILL",95139,1566,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"152",3655,0,1,0,"R_3rGwRGzmxJ3Qu3v",98026,3679,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"153",3668,1,0,0,"R_0iIX3koGYFXcS1H",95037,1337,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"154",3673,1,0,0,"R_3h0jV2RssEvFlq8",90002,680,19,30117,"Georgia",c(-85.0506973266602, 33.6012001037598)
"155",3723,0,0,1,"R_R35MRaUKUOK5Z05",97477,626,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"156",3726,1,0,0,"R_Xqh5KC5pS59PATT",92551,2806,36,86409,"Arizona",c(-114.022598266602, 35.2708015441895)
"157",3727,0,0,1,"R_2S0OUhVG5E7Surs",97204,693,7,48124,"Michigan",c(-83.2547988891602, 42.2931098937988)
"158",3746,1,0,0,"R_2PzHfTakDEWv4UT",94587,1014,29,89139,"Nevada",c(-115.203796386719, 36.0113105773926)
"159",3761,0,1,0,"R_3stSwUu3RzRYz80",98855,1649,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"160",3792,0,1,0,"R_24l2WRMqaxDki1C",98503,1999,41,20736,"Maryland",c(-76.6061019897461, 38.695499420166)
"161",3793,1,0,0,"R_12xyb002f3aqYIk",95407,3870,23,84120,"Utah",c(-111.999900817871, 40.6981010437012)
"162",3807,1,0,0,"R_A5kyAIfHA7r3Erf",92805,1254,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"163",3824,1,0,0,"R_3sBqrKCNxXeFpgA",90011,1434,NA,NA,"",c(7.17930603027344, 9.18049621582031)
"164",3873,1,0,0,"R_2xQUWIf7k5mAm49",90620,807,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"165",3885,0,0,1,"R_ueRW1tyAtHIl6i5",97454,748,20,16509,"Pennsylvania",c(-80.0671005249023, 42.0752983093262)
"166",3887,1,0,0,"R_1ov7zREBm9BzQXm",90002,2143,55,55423,"Minnesota",c(-93.2535018920898, 44.8769111633301)
"167",3905,0,1,0,"R_RPqiJLQQmNwZQ0F",98002,995,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"168",3910,0,1,0,"R_1Io41eQfh3hFLrI",98006,410,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"169",3923,1,0,0,"R_1H2ERV0PLZzTlpw",90001,2097,36,85050,"Arizona",c(-112.000701904297, 33.6861000061035)
"170",3927,1,0,0,"R_1Naa2uW2JRNctSJ",90001,1382,NA,NA,"",c(-58.3815994262695, -34.6032981872559)
"171",3939,0,1,0,"R_1K3Fi3YBPmt36ra",98275,2536,36,85383,"Arizona",c(-112.240097045898, 33.7147102355957)
"172",3941,0,1,0,"R_3lSb2BOEgjRRjpG",97217,809,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"173",3957,0,1,0,"R_2YukWNbD0IsCAol",98033,1204,40,8009,"New Jersey",c(-74.9284973144531, 39.7765998840332)
"174",3961,1,0,0,"R_27g4LV8GtAhdC65",92223,749,26,10314,"New York",c(-74.1468963623047, 40.6002006530762)
"175",3974,1,0,0,"R_2PmRbmE0KgaU9s4",92532,972,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
